mouse,human
Mrpl46,MRPL46
Fam110b,FAM110B
Psme1,PSME1
Fbxl9,FBXL9P
Nup188,NUP188
Slc17a4,SLC17A4
Slc17a1,SLC17A1
Slc17a3,SLC17A3
Slc17a2,SLC17A2
Hcls1,HCLS1
Ppp1r1c,PPP1R1C
Lmbrd2,LMBRD2
Dedd,DEDD
Polr2e,POLR2E
Fkbp10,FKBP10
Foxd3,FOXD3
Foxa1,FOXA1
Foxd2,FOXD2
Taf12,TAF12
Itgb4,ITGB4
Plin3,PLIN3
Plin5,PLIN5
Sec23b,SEC23B
Gpr34,GPR34
Il17rc,IL17RC
Mkrn3,MKRN3
Map4k5,MAP4K5
Angel2,ANGEL2
Pold1,POLD1
Smyd1,SMYD1
Alox5ap,ALOX5AP
Noto,NOTO
Etv2,ETV2
Gnl3l,GNL3L
Ube2w,UBE2W
Mis18bp1,MIS18BP1
Wdr33,WDR33
Kri1,KRI1
Gins3,GINS3
Tmem35a,TMEM35A
Mfsd6,MFSD6
Harbi1,HARBI1
Flt1,FLT1
Clstn1,CLSTN1
Nrbf2,NRBF2
Sgk2,SGK2
Myh13,MYH13
Myh3,MYH3
Fnbp1,FNBP1
Fndc7,FNDC7
Zfp64,ZFP64
Ccbe1,CCBE1
Zfpm1,ZFPM1
Zfpm2,ZFPM2
Cep20,CEP20
Fosl1,FOSL1
Foxd1,FOXD1
Foxf2,FOXF2
Foxl2,FOXL2
Foxl3,FOXL3
Foxm1,FOXM1
Foxo1,FOXO1
Foxo6,FOXO6
Foxp1,FOXP1
Foxp3,FOXP3
Foxq1,FOXQ1
Foxr1,FOXR1
Foxr2,FOXR2
Ptgfr,PTGFR
Pdha1,PDHA1
Gli3,GLI3
Supt16,SUPT16H
Timm10b,TIMM10B
Pgap2,PGAP2
Mtor,MTOR
Bmp1,BMP1
Wdpcp,WDPCP
Frk,FRK
Frmd5,FRMD5
Frrs1,FRRS1
Pcp4,PCP4
Fscn1,FSCN1
Fscn2,FSCN2
Fshb,FSHB
Spon1,SPON1
Tnnc2,TNNC2
Cog1,COG1
Pknox2,PKNOX2
Mrm2,MRM2
Cmtr2,CMTR2
Cmtr1,CMTR1
Stk36,STK36
Fuca1,FUCA1
Pofut3,POFUT3
Pofut4,POFUT4
Fut8,FUT8
Grik1,GRIK1
Slc9a6,SLC9A6
Nr1h4,NR1H4
Nr1h5,NR1H5P
Fxyd1,FXYD1
Fyb1,FYB1
Fyn,FYN
Fzd4,FZD4
Fzd1,FZD1
Fzd9,FZD9
Fzd5,FZD5
Fzd3,FZD3
Fzd8,FZD8
Fzr1,FZR1
Bud31,BUD31
Gna11,GNA11
Kcna1,KCNA1
Isg15,ISG15
Xrcc6,XRCC6
Gng3,GNG3
Adgrf2,ADGRF2P
Adgrf4,ADGRF4
Adgrf1,ADGRF1
Adgrf5,ADGRF5
Hspa12b,HSPA12B
Gabbr1,GABBR1
Gpr156,GPR156
Gabra6,GABRA6
Gabarap,GABARAP
Gad1,GAD1
Gad2,GAD2
Gadd45a,GADD45A
Gadd45g,GADD45G
Gal3st1,GAL3ST1
Gpc2,GPC2
Gal,GAL
Galnt17,GALNT17
Galnt18,GALNT18
Gna12,GNA12
Gna15,GNA15
Gnai3,GNAI3
Gnao1,GNAO1
Gnal,GNAL
Gnaq,GNAQ
Gnas,GNAS
Gnat2,GNAT2
Gnaz,GNAZ
Galr1,GALR1
B4galt6,B4GALT6
Tac1,TAC1
Ganab,GANAB
Psmd10,PSMD10
Ralgapa1,RALGAPA1
Gars1,GARS1
Gas2,GAS2
Gas7,GAS7
Drc4,DRC4
Wfikkn2,WFIKKN2
Wfikkn1,WFIKKN1
Asz1,ASZ1
Gata2,GATA2
Gatad2a,GATAD2A
Castor1,CASTOR1
Gba1,GBA1
Cfi,CFI
Ldlrad4,LDLRAD4
Nipsnap2,NIPSNAP2
Prr13,PRR13
Nr0b2,NR0B2
Ndufaf6,NDUFAF6
Nopchap1,NOPCHAP1
Shtn1,SHTN1
Bbln,BBLN
Crebrf,CREBRF
Cep15,CEP15
Ncor2,NCOR2
Bicral,BICRAL
Tmsb10,TMSB10
Cemip,CEMIP
Gm527,DORIP1
Ap5z1,AP5Z1
Cfap92,CFAP92
Meiob,MEIOB
Tmem74b,TMEM74B
Smad4,SMAD4
Tmem94,TMEM94
Tti1,TTI1
Trir,TRIR
Fam222b,FAM222B
Focad,FOCAD
Trappc14,TRAPPC14
Tmem150c,TMEM150C
Pgr,PGR
Rora,RORA
Nr2c2,NR2C2
Vdr,VDR
Kat2a,KAT2A
Ncoa6,NCOA6
Ppargc1a,PPARGC1A
Slc17a9,SLC17A9
Prorp,PRORP
Cfap107,CFAP107
Nexmif,NEXMIF
Fam171a1,FAM171A1
Rpp25,RPP25
Washc4,WASHC4
2210408I21Rik,KIAA0825
Cipc,CIPC
Cep295,CEP295
Jcad,JCAD
Helz2,HELZ2
Faxc,FAXC
Lrrc73,LRRC73
Sanbr,SANBR
Cfap43,CFAP43
D7Ertd443e,C10orf90
Spidr,SPIDR
4930578I06Rik,C8orf74
Cfap68,CFAP68
2310011J03Rik,C19orf25
Peak1,PEAK1
Mosmo,MOSMO
Ccdc186,CCDC186
Gm525,C17orf67
Ric1,RIC1
Erg28,ERG28
Ccdc175,CCDC175
Edrf1,EDRF1
Grm2,GRM2
Gucy2f,GUCY2F
Gucy2e,GUCY2D
Lyset,LYSET
Guca1b,GUCA1B
Gcdh,GCDH
Gcg,GCG
Gcgr,GCGR
Ccndbp1,CCNDBP1
Gcm2,GCM2
Gcn1,GCN1
Nr6a1,NR6A1
Csf3r,CSF3R
Mstn,MSTN
Gdnf,GDNF
Gdpd3,GDPD3
Mmp2,MMP2
Nlrp9c,NLRP9
Nlrp5,NLRP5
Gtf3a,GTF3A
Gfi1,GFI1
Gfra2,GFRA2
Gfra4,GFRA4
Gfus,GFUS
Gga3,GGA3
Pggt1b,PGGT1B
Ggt5,GGT5
Ghdc,GHDC
Ghr,GHR
Ghrhr,GHRHR
Ghsr,GHSR
Golgb1,GOLGB1
Gigyf1,GIGYF1
Ifi30,IFI30
Tsc22d3,TSC22D3
Gipc2,GIPC2
Git2,GIT2
Tnfrsf18,TNFRSF18
Tnfsf18,TNFSF18
Ucma,UCMA
Glcci1,GLCCI1
Glce,GLCE
Gclm,GCLM
Gle1,GLE1
Hepacam,HEPACAM
Glmn,GLMN
Gls,GLS
Gls2,GLS2
Gxylt1,GXYLT1
Gxylt2,GXYLT2
Gltp,GLTP
Gltpd2,GLTPD2
Bicra,BICRA
Lgsn,LGSN
Gria1,GRIA1
Gria2,GRIA2
Gria3,GRIA3
Gria4,GRIA4
Grid2,GRID2
Slc2a10,SLC2A10
Slc2a2,SLC2A2
Slc2a6,SLC2A6
Glrx5,GLRX5
Slc6a9,SLC6A9
Slc6a5,SLC6A5
St3gal5,ST3GAL5
Gmppa,GMPPA
Rack1,RACK1
Gnb3,GNB3
Gnb4,GNB4
Gnb5,GNB5
Gngt1,GNGT1
Gng11,GNG11
Gng12,GNG12
Gng13,GNG13
Gngt2,GNGT2
Gnrhr,GNRHR
Gns,GNS
Mboat4,MBOAT4
Cdc26,CDC26
Slc24a5,SLC24A5
Golga7b,GOLGA7B
Golim4,GOLIM4
Golph3,GOLPH3
Golt1b,GOLT1B
Fshr,FSHR
Cga,CGA
Mbtps1,MBTPS1
Il6st,IL6ST
Lrp2,LRP2
Cybb,CYBB
Gpa33,GPA33
Gpc1,GPC1
Gpc6,GPC6
Gpd1,GPD1
Gper1,GPER1
Pigk,PIGK
Cmklr2,CMKLR2
Qrfprl,QRFPR
Adgrg4,ADGRG4
Adgrf3,ADGRF3
Adgra2,ADGRA2
Adgra3,ADGRA3
Stx7,STX7
Adgrd1,ADGRD1
Gpr137,GPR137
Gpr158,GPR158
Gpr161,GPR161
Tpra1,TPRA1
Gpr3,GPR3
Gpr22,GPR22
Mchr1,MCHR1
Adgrg2,ADGRG2
Npbwr1,NPBWR1
Npffr2,NPFFR2
Hcar1,HCAR1
Adgrg3,ADGRG3
Adgrv1,ADGRV1
Armc10,ARMC10
Gprc5b,GPRC5B
Gprin3,GPRIN3
Gpt,GPT
Gfral,GFRAL
Gramd2a,GRAMD2A
Tamalin,TAMALIN
Grb10,GRB10
Grem1,GREM1
Grem2,GREM2
Grhl2,GRHL2
Hey2,HEY2
Grik2,GRIK2
Grin2b,GRIN2B
Grin2c,GRIN2C
Grin3b,GRIN3B
Grina,GRINA
Ncoa2,NCOA2
Grk4,GRK4
Grm5,GRM5
Grm8,GRM8
Grtp1,GRTP1
Glrx2,GLRX2
Glrx3,GLRX3
Grxcr1,GRXCR1
Gsx1,GSX1
Gsx2,GSX2
Gsk3a,GSK3A
Gspt1,GSPT1
Pomgnt2,POMGNT2
Gtf2f2,GTF2F2
Lhcgr,LHCGR
Gtpbp2,GTPBP2
Mtg1,MTG1
Gucy1a1,GUCY1A1
Gucy1b1,GUCY1B1
Gucy2c,GUCY2C
Guk1,GUK1
Gulp1,GULP1
Large2,LARGE2
Dbx2,DBX2
H2ac21,H2AC21
H2ac25,H2AC25
H2ac20,H2AC20
Macroh2a2,MACROH2A2
H2az2,H2AZ2
H2az1,H2AZ1
H2ax,H2AX
H2ac10,H2AC7
H2aj,H2AJ
H2bc1,H2BC1
Zfp367,ZNF367
Slc5a7,SLC5A7
Hsd17b10,HSD17B10
Hadh,HADH
Plekha7,PLEKHA7
Spint1,SPINT1
Hamp,HAMP
Copb1,COPB1
Ush1c,USH1C
Mnx1,MNX1
Hbegf,HBEGF
Hpx,HPX
Lamtor5,LAMTOR5
Hccs,HCCS
Serpind1,SERPIND1
Hcn2,HCN2
Hcn4,HCN4
Hcrtr2,HCRTR2
Spats2l,SPATS2L
Spats2,SPATS2
Hdac7,HDAC7
Hdac9,HDAC9
Hdgfl2,HDGFL2
Hdgfl3,HDGFL3
Pudp,PUDP
Tcf7l1,TCF7L1
Dnaaf5,DNAAF5
Mroh1,MROH1
Hspa8,HSPA8
Ndc80,NDC80
Hecw1,HECW1
Hecw2,HECW2
Heg1,HEG1
Helq,HELQ
Henmt1,HENMT1
Hephl1,HEPHL1
Hes6,HES6
Herc6,HERC6
Myf6,MYF6
Rbpms2,RBPMS2
Hey1,HEY1
Hes2,HES2
Helt,HELT
Hhex,HHEX
Hgf,HGF
Slc72a1,SLC71A1
Slc71a2,SLC71A2
Hibadh,HIBADH
Hif1a,HIF1A
Hif3a,HIF3A
Egln2,EGLN2
Egln3,EGLN3
Asmt,ASMT
Zdhhc17,ZDHHC17
Ccdc62,CCDC62
Ube2k,UBE2K
Nfu1,NFU1
H1f2,H1-2
Hivep2,HIVEP2
Hmbox1,HMBOX1
Hmbs,HMBS
Hmga1b,HMGA1
Hmgb1,HMGB1
Hmgb2,HMGB2
Hmgcr,HMGCR
Nsg2,NSG2
Hmx3,HMX3
Ndufb5,NDUFB5
Sfpq,SFPQ
Syf2,SYF2
Dctn6,DCTN6
Sparc,SPARC
Chchd6,CHCHD6
Ddx17,DDX17
Sfrp2,SFRP2
Crat,CRAT
Srsf2,SRSF2
Rgs6,RGS6
Ybx1,YBX1
Pfn2,PFN2
Lims2,LIMS2
Rps27a,RPS27A
Kpna2,KPNA2
Tyrp1,TYRP1
Mpzl3,MPZL3
Dnajc8,DNAJC8
Lcn12,LCN12
Rps9,RPS9
Ranbp1,RANBP1
Mcfd2,MCFD2
Noazfp,NOAZFP
Ttn,TTN
Lrrfip1,LRRFIP1
Arfgef1,ARFGEF1
Prdx1,PRDX1
Tnni3,TNNI3
Tnni2,TNNI2
Hoxb2,HOXB2
Irx3,IRX3
Mybpc3,MYBPC3
Tradd,TRADD
Capn8,CAPN8
S100a10,S100A10
Timm44,TIMM44
Ccar1,CCAR1
Apex1,APEX1
Mrm3,MRM3
Bhmt,BHMT
Bhmt2,BHMT2
Vcl,VCL
Nsfl1c,NSFL1C
Jpt1,JPT1
Onecut1,ONECUT1
Chst10,CHST10
Hnrnpa3,HNRNPA3
Hnrnpdl,HNRNPDL
Hnrnpk,HNRNPK
Hnrnpr,HNRNPR
Rnf31,RNF31
Homer1,HOMER1
Homer3,HOMER3
Mef2c,MEF2C
Hopx,HOPX
Rem1,REM1
Tlx1,TLX1
Tlx2,TLX2
Hoxb6,HOXB6
Hoxa1,HOXA1
Hoxa10,HOXA10
Hoxa11,HOXA11
Hoxc11,HOXC11
Hoxa13,HOXA13
Hoxb3,HOXB3
Hoxc10,HOXC10
Hoxc4,HOXC4
Hoxd10,HOXD10
Hoxd12,HOXD12
Hoxd13,HOXD13
Hoxd3,HOXD3
Hoxd9,HOXD9
Hoxc13,HOXC13
Hoxa4,HOXA4
Prpf3,PRPF3
Bloc1s3,BLOC1S3
Rad23b,RAD23B
Hras,HRAS
Plaat1,PLAAT1
Hic2,HIC2
Hrh2,HRH2
Prmt2,PRMT2
Prmt3,PRMT3
Prmt8,PRMT8
Prmt6,PRMT6
Cdc73,CDC73
Rida,RIDA
Hs2st1,HS2ST1
Hsbp1,HSBP1
Hsd11b1,HSD11B1
Rdh5,RDH5
Hsf1,HSF1
Lipe,LIPE
Hsph1,HSPH1
Dnaja3,DNAJA3
Hspa4,HSPA4
Hspb6,HSPB6
Hspb9,HSPB9
Ier3ip1,IER3IP1
Wdr91,WDR91
Mkrn2,MKRN2
Kat5,KAT5
Htr1f,HTR1F
Htr1a,HTR1A
Htr1d,HTR1D
Htr2a,HTR2A
Htr5a,HTR5A
Htr7,HTR7
Htra1,HTRA1
Htra2,HTRA2
Hyal2,HYAL2
Fabp6,FABP6
Clns1a,CLNS1A
Mrpl58,MRPL58
Cxxc4,CXXC4
Echdc2,ECHDC2
Srpra,SRPRA
Mrpl47,MRPL47
Rps6ka1,RPS6KA1
Ssbp3,SSBP3
Hspbp1,HSPBP1
Wwp2,WWP2
Nova2,NOVA2
Exosc6,EXOSC6
Atpaf1,ATPAF1
Sult2a1,SULT2A1
Sult2b1,SULT2B1
Usp10,USP10
Strn3,STRN3
Prpf8,PRPF8
Bop1,BOP1
Rreb1,RREB1
Hprt1,HPRT1
Zfyve28,ZFYVE28
Myl10,MYL10
Btbd10,BTBD10
Rgma,RGMA
Cenpn,CENPN
Sox3,SOX3
Rbis,RBIS
Kansl2,KANSL2
Arfip1,ARFIP1
Vasn,VASN
Tmem161b,TMEM161B
Unc119b,UNC119B
Ncapd3,NCAPD3
Evl,EVL
Etv6,ETV6
Tfdp2,TFDP2
Slc4a4,SLC4A4
Foxp4,FOXP4
Lfng,LFNG
Pmp22,PMP22
Siah1b,SIAH1
Nrp2,NRP2
Papss2,PAPSS2
Ncapg2,NCAPG2
Enah,ENAH
Slc7a6,SLC7A6
Spdl1,SPDL1
Zfand5,ZFAND5
Nacc1,NACC1
Tsn,TSN
Gnl3,GNL3
Lnx2,LNX2
Helb,HELB
Zfp106,ZNF106
Mettl9,METTL9
Mab21l2,MAB21L2
Mast1,MAST1
Itgb1bp2,ITGB1BP2
Fgf3,FGF3
Xkr4,XKR4
Gas1,GAS1
Itih2,ITIH2
Tiam2,TIAM2
Impdh1,IMPDH1
Pbxip1,PBXIP1
Fxr2,FXR2
Acy3,ACY3
Bbs7,BBS7
Kif26a,KIF26A
Aff3,AFF3
Hyou1,HYOU1
Dph2,DPH2
Nid1,NID1
Sox5,SOX5
Nmnat1,NMNAT1
Foxc1,FOXC1
Fras1,FRAS1
Slc39a7,SLC39A7
Dennd5b,DENND5B
Greb1,GREB1
Nkx2-2,NKX2-2
Snx5,SNX5
Kat6b,KAT6B
Mars1,MARS1
Mllt10,MLLT10
Skp2,SKP2
Plekhg4,PLEKHG4
Mtss2,MTSS2
Pou2f2,POU2F2
Thrap3,THRAP3
Ttc7,TTC7A
Syne2,SYNE2
Pck2,PCK2
Ido2,IDO2
Ido1,IDO1
Fabp2,FABP2
Iffo1,IFFO1
Iffo2,IFFO2
Ifit2,IFIT2
Ifit3,IFIT3
Ifitm7,IFITM3
Ifnk,IFNK
Ifne,IFNE
Ifnb1,IFNB1
Ifng,IFNG
Il22,IL22
Igf1,IGF1
Igf2bp2,IGF2BP2
Igfbp2,IGFBP2
Igfbp3,IGFBP3
Igfbp5,IGFBP5
Igf1r,IGF1R
Igfn1,IGFN1
Ighm,IGHM
Ighmbp2,IGHMBP2
Igkv8-21,IGKV4-1
Igkv12-98,IGKV1-27
Igkv5-37,IGKV6D-41
Cadm2,CADM2
Igsf5,IGSF5
Dzip1,DZIP1
Elp1,ELP1
Ikzf1,IKZF1
Chuk,CHUK
Ikbkb,IKBKB
Ikbke,IKBKE
Mettl23,METTL23
Rsrc2,RSRC2
Rbpj,RBPJ
1700030K09Rik,C19orf44
Ugdh,UGDH
Sf3b3,SF3B3
Naca,NACA
Gng5c,GNG5B
Zdhhc3,ZDHHC3
Ppp1cb,PPP1CB
Nup88,NUP88
Rpa2,RPA2
Ppp2r1a,PPP2R1A
Ppp2r1b,PPP2R1B
Il12a,IL12A
Il12rb2,IL12RB2
Il13ra1,IL13RA1
Il13ra2,IL13RA2
Il1rapl2,IL1RAPL2
Il36g,IL36G
Il36a,IL36A
Il1rn,IL1RN
Il36b,IL36B
Il1rl1,IL33R
Il21r,IL21R
Ebi3,EBI3
Il2rg,IL2RG
Il20,IL20
Il19,IL19
Csf2rb,CSF2RB
Il13,IL13
Il4,IL4
Clec4a1,CLEC4A
Clec4e,CLEC4E
Clec4n,CLEC6A
Clec4d,CLEC4D
Nmt1,NMT1
Dhx15,DHX15
Phf2,PHF2
Cyb5r4,CYB5R4
Ccni,CCNI
Mff,MFF
Ctnna2,CTNNA2
Ctnna3,CTNNA3
Fkbp6,FKBP6
Mrc1,MRC1
Wee2,WEE2
Pak4,PAK4
S1pr4,S1PR4
Denr,DENR
Zbtb21,ZBTB21
Tmx4,TMX4
Ubb,UBB
St3gal3,ST3GAL3
Timmdc1,TIMMDC1
Ccdc9,CCDC9
Mrpl12,MRPL12
Praf2,PRAF2
Atpaf2,ATPAF2
Dclre1b,DCLRE1B
Cetn3,CETN3
Mrps35,MRPS35
Pex16,PEX16
Ppat,PPAT
Haus7,HAUS7
Ngly1,NGLY1
Nadk,NADK
Mfge8,MFGE8
Ppp2r3d,PPP2R3B
Pfdn2,PFDN2
Icmt,ICMT
Mrpl37,MRPL37
Cryl1,CRYL1
Maip1,MAIP1
Timm8a1,TIMM8A
Lrrc30,LRRC30
Plekhh1,PLEKHH1
Ndufb11,NDUFB11
Vps25,VPS25
Surf1,SURF1
Card19,CARD19
Taf10,TAF10
Pals2,PALS2
Vrk3,VRK3
Alkbh3,ALKBH3
Wdr4,WDR4
Nprl2,NPRL2
Cybrd1,CYBRD1
Ptk2b,PTK2B
Sncg,SNCG
Uqcrb,UQCRB
Nif3l1,NIF3L1
Trip13,TRIP13
Nudcd1,NUDCD1
Ggnbp2,GGNBP2
Tmem135,TMEM135
Mrpl34,MRPL34
Abcf3,ABCF3
Mrpl9,MRPL9
Siva1,SIVA1
Spc25,SPC25
Pigl,PIGL
Gpx7,GPX7
Spam1,SPAM1
Cav3,CAV3
Mipep,MIPEP
Rab9,RAB9A
Cyp2c55,CYP2C18
Cyp2b9,CYP2B6
Cyp2g1,CYP2G1P
Cyp2c66,CYP2C8
Cyp2c23,CYP2C23P
Ptgr2,PTGR2
Cinp,CINP
Tmem179b,TMEM179B
Aifm2,AIFM2
Pgpep1,PGPEP1
Cox11,COX11
Cyb5d2,CYB5D2
Atg101,ATG101
Neb,NEB
Abr,ABR
Tmem45a,TMEM45A
Ubfd1,UBFD1
Stk35,STK35
Fis1,FIS1
Snx22,SNX22
Dap3,DAP3
B9d1,B9D1
Zbtb3,ZBTB3
Rps16,RPS16
Pyurf,PYURF
Rad50,RAD50
Tmem167b,TMEM167B
Fbln2,FBLN2
Mrps30,MRPS30
Fdx1,FDX1
Lman2l,LMAN2L
Vps16,VPS16
Armc8,ARMC8
Mrpl2,MRPL2
Rpa3,RPA3
Cbr4,CBR4
Uchl3,UCHL3
Capn2,CAPN2
Snrpd2,SNRPD2
Exosc9,EXOSC9
Hmox2,HMOX2
Tmem33,TMEM33
Gps1,GPS1
Degs2,DEGS2
Ndrg2,NDRG2
Rsph1,RSPH1
Fnta,FNTA
Manf,MANF
Psmb4,PSMB4
Supt7l,SUPT7L
Tril,TRIL
Lyrm2,LYRM2
Psma3,PSMA3
Fmod,FMOD
Acp1,ACP1
Srpx,SRPX
Upp1,UPP1
Ppp1r37,PPP1R37
Mast3,MAST3
Rictor,RICTOR
Mrps10,MRPS10
Mrpl33,MRPL33
Cbx4,CBX4
Piga,PIGA
Nbn,NBN
Slc75a1,SLC75A1
Mylk4,MYLK4
Atl3,ATL3
Slc35g2,SLC35G2
Pdzd4,PDZD4
Kntc1,KNTC1
Xxylt1,XXYLT1
Pcf11,PCF11
Necab2,NECAB2
Neu3,NEU3
Itgb8,ITGB8
Eif5b,EIF5B
Ccdc87,CCDC87
Ppm1k,PPM1K
Spopl,SPOPL
Snx4,SNX4
Rev3l,REV3L
Ubc,UBC
Ogdh,OGDH
Prkar1a,PRKAR1A
Nampt,NAMPT
Ifrd1,IFRD1
Sorl1,SORL1
Gpatch1,GPATCH1
Txnrd2,TXNRD2
Dexi,DEXI
Polr2a,POLR2A
Ttc39a,TTC39A
Cobl,COBL
Loxl2,LOXL2
Ggt6,GGT6
Rai14,RAI14
Cplane2,CPLANE2
Marveld1,MARVELD1
Srrm4,SRRM4
Cep19,CEP19
Bsnd,BSND
Zfp346,ZNF346
Ppp1r7,PPP1R7
Map6,MAP6
Dok4,DOK4
Pogz,POGZ
Rab22a,RAB22A
Elapor1,ELAPOR1
Hars1,HARS1
Hars2,HARS2
Zmym4,ZMYM4
Efcab10,EFCAB10
Tet2,TET2
Rgl2,RGL2
Mapk13,MAPK13
Gtf3c3,GTF3C3
Casp9,CASP9
Vps33a,VPS33A
Myl4,MYL4
Thap7,THAP7
Tmem86a,TMEM86A
Marveld2,MARVELD2
Pfkm,PFKM
Tbc1d25,TBC1D25
Mybpc2,MYBPC2
Ube2c,UBE2C
Shisa9,SHISA9
L3mbtl2,L3MBTL2
Rgs3,RGS3
Zfyve27,ZFYVE27
Rfx1,RFX1
Rp9,RP9
Pakap,PALM2AKAP2
Tbcc,TBCC
Skida1,SKIDA1
Rbx1,RBX1
Matn4,MATN4
Sipa1l2,SIPA1L2
Xrcc5,XRCC5
Fndc3b,FNDC3B
Mettl5,METTL5
Txndc11,TXNDC11
Psmd5,PSMD5
Slc7a6os,SLC7A6OS
Gins4,GINS4
Mga,MGA
Rce1,RCE1
Ryr1,RYR1
St18,ST18
Ppip5k2,PPIP5K2
Hmces,HMCES
Grin2d,GRIN2D
Mrpl48,MRPL48
Srcap,SRCAP
Ptpmt1,PTPMT1
Cript,CRIPT
Smpdl3b,SMPDL3B
Cilp,CILP
Top2b,TOP2B
Lrba,LRBA
Rpp14,RPP14
Usp28,USP28
Sall3,SALL3
Cdc7,CDC7
Nbea,NBEA
Bricd5,BRICD5
Gtf3c4,GTF3C4
Nfatc3,NFATC3
Tbck,TBCK
Pnpo,PNPO
Zfp800,ZNF800
Npr3,NPR3
Igsf9,IGSF9
Ccdc51,CCDC51
Pkd1l2,PKD1L2
Gnb2,GNB2
Gpatch4,GPATCH4
Snapc5,SNAPC5
Themis,THEMIS
Itfg2,ITFG2
Gnpnat1,GNPNAT1
Cpn2,CPN2
Plbd1,PLBD1
Ptger3,PTGER3
Prkca,PRKCA
Lig3,LIG3
Fundc2b,FUNDC2
Lbx1,LBX1
Lrig2,LRIG2
Flnc,FLNC
Usp48,USP48
Cnot10,CNOT10
Rex1bd,REX1BD
9430015G10Rik,C1orf159
Mettl27,METTL27
Sirt4,SIRT4
Mfsd8,MFSD8
Spock3,SPOCK3
S100a5,S100A5
Iah1,IAH1
Usp4,USP4
Abt1,ABT1
Ier3,IER3
Cdc37l1,CDC37L1
Rbm15,RBM15
Mpi,MPI
Prep,PREP
Vbp1,VBP1
Spata18,SPATA18
Lrrc58,LRRC58
Pals1,PALS1
Rps6kc1,RPS6KC1
Atg4d,ATG4D
Fam135a,FAM135A
Lrrc8d,LRRC8D
Galnt2,GALNT2
Ska2,SKA2
Ppp1r14b,PPP1R14B
Cenpf,CENPF
Rab11fip5,RAB11FIP5
Pcsk6,PCSK6
Pgm2l1,PGM2L1
Ppp1r14c,PPP1R14C
Brwd1,BRWD1
Sgca,SGCA
Ube3a,UBE3A
Slc16a12,SLC16A12
Pip5k1a,PIP5K1A
Cul4b,CUL4B
Ssrp1,SSRP1
Sdha,SDHA
Tsen15,TSEN15
Aars2,AARS2
Nr1h3,NR1H3
Ecscr,ECSCR
Rbmx2,RBMX2
Nup210,NUP210
Tmco4,TMCO4
Tnip1,TNIP1
Acad9,ACAD9
Riox1,RIOX1
Dclre1c,DCLRE1C
Naa60,NAA60
Flii,FLII
Ttc9c,TTC9C
Xrcc3,XRCC3
Trmt1l,TRMT1L
Fgfbp3,FGFBP3
Efcab6,EFCAB6
Nsun3,NSUN3
Mcrip2,MCRIP2
Pold4,POLD4
Svil,SVIL
Kif13b,KIF13B
Commd9,COMMD9
Mal,MAL
Plpp7,PLPP7
Rrp12,RRP12
Rab24,RAB24
Ift56,IFT56
Rnf4,RNF4
Mocos,MOCOS
Snrpa1,SNRPA1
Cmtm7,CMTM7
Trip4,TRIP4
Cpm,CPM
Mapkap1,MAPKAP1
Setdb1,SETDB1
Thada,THADA
Ttc1,TTC1
Chd4,CHD4
Ckap5,CKAP5
Elmo3,ELMO3
Nuggc,NUGGC
Naa25,NAA25
Wapl,WAPL
Meltf,MELTF
Slc25a18,SLC25A18
Gemin4,GEMIN4
Inpp5f,INPP5F
Hps1,HPS1
Zfp236,ZNF236
Sft2d2,SFT2D2
Slc23a4,SLC23A4P
Hpse,HPSE
Tspan10,TSPAN10
Cryba2,CRYBA2
Nubp1,NUBP1
Ints9,INTS9
Paxx,PAXX
Nrxn3,NRXN3
Lrrcc1,LRRCC1
Snx33,SNX33
Pcgf6,PCGF6
Wdfy2,WDFY2
Zfp687,ZNF687
Bbs1,BBS1
Hemk1,HEMK1
Iftap,IFTAP
Elac2,ELAC2
Alg2,ALG2
Tonsl,TONSL
Lpcat3,LPCAT3
Dpp9,DPP9
Smarcal1,SMARCAL1
Trim55,TRIM55
Acsf2,ACSF2
Map7,MAP7
Cep290,CEP290
Cdc6,CDC6
Fermt2,FERMT2
Stoml1,STOML1
Zup1,ZUP1
Eif2a,EIF2A
Xdh,XDH
Smyd2,SMYD2
Mlx,MLX
Orai1,ORAI1
Marchf11,MARCHF11
Ambra1,AMBRA1
Mctp2,MCTP2
Mul1,MUL1
Aggf1,AGGF1
Pacs1,PACS1
Dpf2,DPF2
Kbtbd2,KBTBD2
Rlf,RLF
Uggt2,UGGT2
Phip,PHIP
Secisbp2,SECISBP2
Pik3c3,PIK3C3
Ehd4,EHD4
Dbt,DBT
Fastkd3,FASTKD3
Sec16b,SEC16B
Golga4,GOLGA4
Cyb5r2,CYB5R2
Atp13a2,ATP13A2
Pnkd,PNKD
Nptxr,NPTXR
Cfhr4,CFH
Ddias,DDIAS
Gid4,GID4
Zbtb33,ZBTB33
Ppcs,PPCS
Rnf17,RNF17
Acp6,ACP6
Cog3,COG3
Ttc22,TTC22
Col4a6,COL4A6
Ocstamp,OCSTAMP
Stard13,STARD13
Pyroxd2,PYROXD2
Faf2,FAF2
Ddx42,DDX42
Psmd11,PSMD11
Serpinb1b,SERPINB1
Pnpla7,PNPLA7
Adtrp,ADTRP
Afap1,AFAP1
Spen,SPEN
Kmt2a,KMT2A
Fhod1,FHOD1
Afmid,AFMID
Wdr76,WDR76
Rbm6,RBM6
Ankzf1,ANKZF1
Pik3r4,PIK3R4
Tbc1d15,TBC1D15
